年月,Japan,Korea,CostaRica,Canada,Australia,Spain,France,United-Kingdom,Netherlands,Denmark
May 2020,90,90,20,30,10,70,40,10,0,0
June 2020,90,90,30,40,10,90,80,20,0,0
July 2020,100,100,70,50,10,90,80,20,10,0
Aug. 2020,100,100,90,80,30,100,90,70,10,0
Sep. 2020,100,100,90,90,40,100,90,70,10,10
Oct. 2020,100,100,90,90,40,100,90,80,10,20
Nov. 2020,100,100,90,90,40,100,90,80,80,40
Dec. 2020,100,100,90,90,30,100,90,80,70,50
Jan. 2021,100,100,90,90,30,100,90,80,80,50
Feb. 2021,100,100,90,90,40,100,90,80,80,50
Mar. 2021,100,100,90,90,30,100,90,80,70,40
Apr. 2021,100,100,90,90,20,100,90,80,70,40
May 2021,100,100,90,90,20,100,90,80,70,40
June 2021,100,100,90,90,20,100,90,80,80,50
July 2021,100,100,90,90,50,90,80,80,70,10
Aug. 2021,100,100,90,80,70,90,80,70,20,10
Sep. 2021,100,100,90,70,70,90,80,60,10,10
Oct. 2021,100,100,90,80,70,90,80,50,10,10
Nov. 2021,100,100,90,90,70,90,80,50,10,10
